CFX,AAAI δ_max,Wilks δ_max,MILP δ_max,Difference
"[0.21895425 0.10931851 0.         0.         0.01955055 0.
 0.01939885 0.01076796 0.21895425]",0.10821238236127151,0.31074999999999997,0.1103,0.20044999999999996
"[0.10784314 0.05858552 0.00769231 0.00373832 0.06312583 0.
 0.04071627 0.02260088 0.10784314]",0.10821238236127151,0.30000000000000004,0.1103,0.18970000000000004
"[0.09803922 0.03151427 0.         0.02990654 0.09186238 0.
 0.02366233 0.01313454 0.09803922]",0.10821238236127151,0.2992,0.1087,0.1905
"[0.04901961 0.02615385 0.02307692 0.0317757  0.32255921 0.006099
 0.31784268 0.26517572 0.04901961]",0.10821238236127151,0.28970000000000007,0.10965,0.18005000000000007
"[0.09477124 0.03094814 0.         0.01682243 0.10450725 0.
 0.01939885 0.01076796 0.09477124]",0.10821238236127151,0.2993,0.10980000000000001,0.1895
"[0.17973856 0.1116543  0.         0.00373832 0.02367494 0.
 0.01385632 0.0076914  0.17973856]",0.10821238236127151,0.2948,0.10930000000000001,0.1855
"[0.13398693 0.09048748 0.         0.00373832 0.04514954 0.
 0.02046472 0.0113596  0.13398693]",0.10821238236127151,0.29190000000000005,0.1103,0.18160000000000004
"[0.10784314 0.03696247 0.         0.00186916 0.110894   0.
 0.01087188 0.00603479 0.10784314]",0.10821238236127151,0.29569999999999996,0.10900000000000001,0.18669999999999995
"[0.18627451 0.10586984 0.00769231 0.01682243 0.02371777 0.
 0.01939885 0.01076796 0.18627451]",0.10821238236127151,0.30820000000000003,0.1115,0.19670000000000004
"[0.67973856 0.1720069  0.         0.00373832 0.17971227 0.
 0.17714773 0.14802982 0.67973856]",0.10821238236127151,0.4262,0.10994999999999999,0.31625000000000003
"[0.09803922 0.03151427 0.         0.02990654 0.09186238 0.
 0.02366233 0.01313454 0.09803922]",0.10821238236127151,0.2992,0.1087,0.1905
"[0.16993464 0.08093382 0.         0.         0.03470098 0.
 0.03432104 0.03313217 0.16993464]",0.10821238236127151,0.3106,0.10980000000000001,0.20079999999999998
"[0.15359477 0.0665962  0.         0.01308411 0.04119403 0.
 0.04071627 0.02260088 0.15359477]",0.10821238236127151,0.3077000000000001,0.10885,0.19885000000000008
"[0.16339869 0.10622034 0.         0.         0.02916018 0.
 0.01939885 0.01076796 0.16339869]",0.10821238236127151,0.29610000000000003,0.11055000000000001,0.18555000000000002
"[0.02614379 0.01098262 0.00769231 0.00560748 0.12749446 0.
 0.03432104 0.019051   0.02614379]",0.10821238236127151,0.2866000000000001,0.11170000000000001,0.17490000000000006
"[0.70588235 0.17840536 0.         0.00560748 0.20243792 0.
 0.19953102 0.16666667 0.70588235]",0.10821238236127151,0.4206,0.10965,0.31094999999999995
"[0.20588235 0.11105953 0.00769231 0.00934579 0.01955055 0.
 0.01939885 0.01076796 0.20588235]",0.10821238236127151,0.3113,0.11135,0.19995000000000002
"[0.85947712 0.22637844 0.         0.00373832 0.290094   0.
 0.28586655 0.23855165 0.85947712]",0.10821238236127151,0.4145000000000001,0.10975000000000001,0.3047500000000001
 
Mean Wilks,Mean MILP
0.10966000000000001,0.317258
