Delta,Original,Pval,Reject,CI_low,CI_high
0.1,0.9287594556808472,1.7422223599561253e-38,1.0,0.9148754501521813,0.9183898316442741
0.1,0.9846331477165222,6.888770990877342e-35,1.0,0.9792902859190534,0.9807098748942781
0.1,0.978284239768982,6.734948207196163e-30,1.0,0.9718593014394841,0.9736997885787884
0.1,0.8789472579956055,2.289449872214807e-08,1.0,0.864130488592569,0.871785672348555
0.1,0.9846075177192688,2.9861589054306205e-22,1.0,0.981775770952415,0.9827097807624822
0.1,0.982669472694397,4.07929122966425e-26,1.0,0.9783701711761664,0.979684466255932
0.1,0.9815342426300048,1.0687722978228672e-14,1.0,0.9790364463105495,0.9800355118736926
0.1,0.9869780540466307,2.697578368177761e-26,1.0,0.9842499484355745,0.9850812025730316
0.1,0.9613730311393738,9.723807939626886e-11,1.0,0.9567605822102452,0.9588893742545224
0.1,0.9648709893226624,2.8153176320253707e-11,1.0,0.9611650752768969,0.9628379274858977
