Delta,New,Original,Difference
0.05,0.9254730563759804,0.9287594556808472,0.010339497148990632
0.05,0.9797872576713562,0.9809978008270264,0.004292655229568482
0.05,0.9750313367843628,0.9767908453941345,0.005125254273414612
0.05,0.857986969590187,0.8607025742530823,0.025827754735946656
0.05,0.9787154006958008,0.9795211553573608,0.003710656404495239
0.05,0.9751313652396202,0.9768160581588745,0.005068969070911407
0.05,0.974233219742775,0.9756439924240112,0.004597790837287903
0.05,0.9784573572278022,0.9795466065406799,0.0041481034159660335
0.05,0.9339511237740517,0.9346471428871155,0.011461192309856415
0.05,0.9703327354192733,0.9721868634223938,0.005137704372406006
