Delta,New,Original,Difference
0.3,0.8502280205488205,0.9287594556808472,0.09375195252895355
0.3,0.9200130164027214,0.9895866513252258,0.07287592536211014
0.3,0.872828580468893,0.9679879546165466,0.10875066617131234
0.3,0.7859498548395931,0.9050369262695312,0.17117039741203188
0.3,0.9789055150747299,0.9943153262138367,0.01736300194263458
0.3,0.9759428457617759,0.993889331817627,0.02035126155614853
0.3,0.9767974957227706,0.989459216594696,0.017625150322914125
0.3,0.9903641095757485,0.9969682097434998,0.007957367479801178
0.3,0.9327648916989565,0.9861990809440613,0.05680379621684551
0.3,0.7852447320222855,0.8539026975631714,0.1264594554901123
