Delta,New,Original,Difference
0.05,0.4626585813820362,0.45621994137763977,0.04128441399335861
0.05,0.29851424340605737,0.29419371485710144,0.02474947338104248
0.05,0.4145883667767048,0.4104107916355133,0.03972194260954857
0.05,0.6976269378364086,0.69744473695755,0.03420564551949501
0.05,0.3482781028151512,0.35061681270599365,0.02686598991751671
0.05,0.7473016686618328,0.755867600440979,0.028389524477720262
0.05,0.3033357245832682,0.30337733030319214,0.026046047464013098
0.05,0.3730623112499714,0.3719179332256317,0.026634187257289887
0.05,0.5942503089934588,0.6059870719909668,0.04074899533689022
0.05,0.4946959264874458,0.49694564938545227,0.023778252416849135
