Delta,New,Original,Difference
0.05,0.4640921615064144,0.45621994137763977,0.041173702269792556
0.05,0.29065622423589227,0.2835146486759186,0.021676306799054145
0.05,0.40040813115239143,0.3926040232181549,0.03260417565703392
0.05,0.6628076259493828,0.6635504961013794,0.03808324593305588
0.05,0.2941124901920557,0.2920047640800476,0.0220385210365057
0.05,0.6469926623702049,0.6461483836174011,0.02867837506532669
0.05,0.26720196014642716,0.2630225718021393,0.021379188895225526
0.05,0.31550565592944624,0.30624720454216003,0.027807034268975257
0.05,0.6189269414246082,0.6181813478469849,0.033583195179700855
0.05,0.3927233258783817,0.38843345642089844,0.025950010389089586
