Delta,Original,Pval,Reject,CI_low,CI_high
0.3,0.9287594556808472,1.7743105723589e-91,1.0,0.8434001835481308,0.8570558575495102
0.3,0.9895866513252258,4.2771568689559914e-57,1.0,0.9119798566875006,0.9280461761179422
0.3,0.9679879546165466,5.675016189822586e-63,1.0,0.8624559684898733,0.8832011924479127
0.3,0.9050369262695312,1.192908983610343e-50,1.0,0.7712077217226462,0.8006919879565401
0.3,0.9943153262138368,1.9773348603285033e-39,1.0,0.9767032307690666,0.9811077993803932
0.3,0.993889331817627,4.702860233389483e-41,1.0,0.9734363587322707,0.9784493327912811
0.3,0.989459216594696,3.7470207503653304e-36,1.0,0.9748964607331281,0.9786985307124132
0.3,0.9969682097434998,1.0344198344722192e-27,1.0,0.9892117405967655,0.9915164785547315
0.3,0.9861990809440612,9.540108365217343e-67,1.0,0.9271379548236899,0.9383918285742231
0.3,0.8539026975631714,2.100180450746308e-37,1.0,0.7751336436583173,0.7953558203862537
