Delta,New,Original,Difference
0.3,0.4235015576042235,0.40182673931121826,0.08719562499150633
0.3,0.20118804215881975,0.16399946808815002,0.07242776112165301
0.3,0.3138889486476779,0.27868661284446716,0.08528016846328974
0.3,0.4024496019259095,0.36295121908187866,0.08276772442311049
0.3,0.41711533694416286,0.38640424609184265,0.08443978655785322
0.3,0.5001926538974046,0.4287000298500061,0.10491783821880818
0.3,0.5613999499589205,0.4980045258998871,0.10049613048136234
0.3,0.6049593354716897,0.590943455696106,0.10951087775081396
0.3,0.7042240063354372,0.7091904282569885,0.10025837316066026
0.3,0.790467173692584,0.7648141384124756,0.08604043263494969
