Delta,New,Original,Difference
0.1,0.9166326408982277,0.9287594556808472,0.022644640147686003
0.1,0.9800000804066658,0.9846331477165222,0.008225274503231048
0.1,0.9727795450091362,0.9782842397689819,0.010855309665203094
0.1,0.867958080470562,0.8789472579956055,0.046867924988269805
0.1,0.9822427758574486,0.9846075177192688,0.005713727414608002
0.1,0.9790273187160492,0.982669472694397,0.0077580525875091556
0.1,0.9795359790921211,0.9815342426300049,0.006224333107471466
0.1,0.984665575504303,0.9869780540466309,0.005074686288833618
0.1,0.9578249782323838,0.9613730311393738,0.012875968217849731
0.1,0.9620015013813973,0.9648709893226624,0.010474078238010406
