Delta,New,Original,Difference
0.4,0.45075012487173083,0.40182673931121826,0.12250823539495469
0.4,0.5742659052088857,0.48181068897247314,0.20073273354023696
0.4,0.4793706143703312,0.3906748592853546,0.22405546859838069
0.4,0.405991758454591,0.26670268177986145,0.21136885840818287
0.4,0.5690981859788299,0.5535512566566467,0.23308609370142222
0.4,0.3814155429698294,0.185482919216156,0.26605567579495254
0.4,0.4290477034172509,0.30152320861816406,0.24391089793830179
0.4,0.4454263570692856,0.5044894814491272,0.29907261081668546
0.4,0.14618349823616883,0.03983594849705696,0.1345399913091169
0.4,0.26224979672406334,0.20171909034252167,0.22561535345937592
