Delta,Original,Pval,Reject,CI_low,CI_high
0.3,0.4562199413776397,7.556310531362463e-81,1.0,0.49145909160531887,0.4994646685256826
0.3,0.5121979713439941,5.403117725811839e-15,1.0,0.4910722069052272,0.49953243653855844
0.3,0.3774779438972473,1.572768127301352e-73,1.0,0.41642757054804075,0.4257787160254159
0.3,0.5391713380813599,2.736814371977459e-248,1.0,0.6137466148745205,0.6226955326773289
0.3,0.0232324749231338,1.7891579077329185e-267,1.0,0.046224628630944495,0.04886987265468472
0.3,0.1856514364480972,6.07393906908355e-310,1.0,0.2824295029881657,0.29267073206328353
0.3,0.0241601131856441,5.052464851499901e-298,1.0,0.07744747466355592,0.08321351803453558
0.3,0.047560378909111,2.4631515606558557e-281,1.0,0.098176502269432,0.10383553916989896
0.3,0.0296975132077932,1.195786329210213e-289,1.0,0.07775521333584055,0.08304018888278565
0.3,0.0660390406847,0.0,1.0,0.18392211105421635,0.19418619824251776
