Delta,New,Original,Difference
0.3,0.4309606262817979,0.40182673931121826,0.0907647036537528
0.3,0.5109280736669898,0.42760851979255676,0.14698392239958047
0.3,0.42296344933658836,0.3604373037815094,0.15114349838346242
0.3,0.34931068647652863,0.2568690776824951,0.14025117748230695
0.3,0.4364719733502716,0.3802015781402588,0.15352004415728152
0.3,0.34855774916149673,0.23922908306121826,0.17399350904487074
0.3,0.38204017574340104,0.30711254477500916,0.15362218432873487
0.3,0.38073583151120693,0.4069887697696686,0.1935733679411933
0.3,0.14642296263214666,0.08381640911102295,0.10433577704790514
0.3,0.23872938601044005,0.20656424760818481,0.15156131707760506
