Delta,New,Original,Difference
0.2,0.4885856101434678,0.45621994137763977,0.12881047257371248
0.2,0.41606402487568556,0.3692988455295563,0.12132716019339859
0.2,0.3905666524723172,0.3477146327495575,0.11995948960632086
0.2,0.6436291659332812,0.6231887340545654,0.12668049382194876
0.2,0.1523999654452782,0.14517433941364288,0.0635368881423492
0.2,0.5562615297857672,0.5648342967033386,0.14804697386585175
0.2,0.12650636095791123,0.10146428644657135,0.074429003106663
0.2,0.19598304196321406,0.15848614275455475,0.08769911026931368
0.2,0.18772398794470355,0.12929542362689972,0.10070383211793378
0.2,0.3490730736795813,0.3689040541648865,0.15404039498530328
