Delta,Original,Pval,Reject,CI_low,CI_high
0.3,0.4562199413776397,3.2127769809896234e-08,1.0,0.4798244394919279,0.5054788855315743
0.3,0.3689852356910705,0.030135969082233982,1.0,0.37015434693812715,0.3921025701510967
0.3,0.2796205282211303,5.319213733833523e-14,1.0,0.3164716960301097,0.34197362244665286
0.3,0.9160662293434144,2.621564028475596e-65,1.0,0.7583369665696692,0.788745530630328
0.3,0.0412900485098362,6.26435998095686e-35,1.0,0.08910235176071452,0.10638897873319636
0.3,0.7935099601745605,4.932826469816408e-75,1.0,0.6596262873897981,0.6835642147694992
0.3,0.4567576348781585,8.47951083634988e-06,1.0,0.4039057374645184,0.43612309294453155
0.3,0.1024001315236091,1.3681589738518555e-48,1.0,0.19807789772739617,0.22586452233681356
0.3,0.4563318192958832,0.8438841565238318,0.0,0.4410826392480424,0.47498400098255183
0.3,0.6500195860862732,7.500535766386012e-20,1.0,0.5496984395140067,0.5846093507560685
