Delta,New,Original,Difference
0.4,0.4415752754919231,0.40182673931121826,0.1180285298474133
0.4,0.14931386481751688,0.10338543355464935,0.08050598681042902
0.4,0.2844773226417601,0.20931848883628845,0.1240724065862596
0.4,0.4216647157140076,0.35942795872688293,0.12717281243130565
0.4,0.41870887509286403,0.3736318051815033,0.12146759498417377
0.4,0.5103510191962123,0.38898178935050964,0.1659859809473157
0.4,0.5944052104473114,0.4977922737598419,0.15554900848269462
0.4,0.6565044583931565,0.6262912750244141,0.1620268662557006
0.4,0.7553901698201895,0.7447433471679688,0.13425622686445712
0.4,0.8919152725547552,0.8965152502059937,0.07335071987211704
