Delta,New,Original,Difference
0.05,0.9253661959826947,0.9287594556808472,0.01076119812130928
0.05,0.9667359836041928,0.9683449268341064,0.006641789084672928
0.05,0.9481150239825249,0.95028156042099,0.01045731726884842
0.05,0.7590932980298996,0.7576099038124084,0.034864247226715085
0.05,0.9326903971493244,0.9365540146827698,0.01151827477812767
0.05,0.9001138156652451,0.9037311673164368,0.019651503443717955
0.05,0.8676837392568588,0.8739553093910217,0.022988487792015077
0.05,0.8738401454210282,0.8761705160140991,0.021723244214057923
0.05,0.7095138653814793,0.7040639519691467,0.035171822530031205
0.05,0.7810557862758637,0.7809991836547852,0.03241108186244965
