Delta,New,Original,Difference
0.05,0.4017346157163382,0.40182673931121826,0.017071044674515725
0.05,0.3605121128797531,0.3599229156970978,0.017541533559560774
0.05,0.41074817200005054,0.4105263352394104,0.01674897710978985
0.05,0.37476225990355017,0.37457945942878723,0.014573298749327659
0.05,0.512660075828433,0.5163520574569702,0.01862777624428272
0.05,0.4466029151380062,0.4491763710975647,0.01640140633583069
0.05,0.4395910361677408,0.4422943890094757,0.015771001997590066
0.05,0.4338300660967827,0.43426355719566345,0.015980780404806137
0.05,0.4651184298813343,0.4637724459171295,0.017832287633419038
0.05,0.4902714610815048,0.49083411693573,0.01899375814795494
