Delta,New,Original,Difference
0.05,0.4035645480453968,0.40182673931121826,0.017340422600507735
0.05,0.38950208529829977,0.38868242502212524,0.017997420519590378
0.05,0.3998169386386871,0.40192970633506775,0.018629751861095428
0.05,0.3416199695169926,0.34230902791023254,0.016707530945539475
0.05,0.5088257836699486,0.5095646977424622,0.02089750534296036
0.05,0.37675789937376974,0.375347763299942,0.017881450086832045
0.05,0.36085826992988584,0.3600676953792572,0.016487361311912536
0.05,0.36870138642191885,0.3720168173313141,0.016026652425527574
0.05,0.3387999377250671,0.33973968029022217,0.01703877377510071
0.05,0.3434968907535076,0.3411451280117035,0.01771519485116005
