Delta,New,Original,Difference
0.2,0.8855444864541292,0.9287594556808472,0.05765094650685787
0.2,0.8511167293995618,0.9073598980903625,0.08288754459917545
0.2,0.6721158159896732,0.6563946604728699,0.11800224185734988
0.2,0.6306277797594666,0.6797480583190918,0.1234675238236785
0.2,0.5765937609210611,0.571256697177887,0.09849331201165915
0.2,0.46191800845302644,0.4904938340187073,0.11182221509180963
0.2,0.4014723818697035,0.40917620062828064,0.09339130127653479
0.2,0.42247766868807374,0.37759655714035034,0.11982909861467779
0.2,0.43118148555401714,0.4109243154525757,0.12905321036931128
0.2,0.323537908295542,0.28602150082588196,0.11340871108993889
