Delta,New,Original,Difference
0.3,0.8487743277698755,0.9287594556808472,0.09590564016997814
0.3,0.7207471153698861,0.7815839648246765,0.14698869042769075
0.3,0.5254327119572089,0.5480991005897522,0.16714360839296133
0.3,0.52210222321935,0.6070416569709778,0.196861765287444
0.3,0.44361993393413723,0.4566152095794678,0.15991163988001644
0.3,0.3517004393242998,0.35391780734062195,0.17308747498758603
0.3,0.24609843991547822,0.19572576880455017,0.12969514258354903
0.3,0.3557000135418959,0.1986902952194214,0.2170714662942104
0.3,0.34152010830120416,0.23145848512649536,0.21095713262780336
0.3,0.27995044181344564,0.17758920788764954,0.1841585270822281
