Delta,New,Original,Difference
0.1,0.9163044429779053,0.9287594556808472,0.023437758481502532
0.1,0.9467413232624531,0.9554322361946106,0.020054452937841416
0.1,0.8850406242191792,0.9067710638046265,0.04179129554629326
0.1,0.7120464920312166,0.7054621577262878,0.06565764937102794
0.1,0.8329092448174954,0.8505808115005493,0.0449614099085331
0.1,0.7421756432801485,0.7486152648925781,0.057352580711245535
0.1,0.6616546024531126,0.6535571813583374,0.055937151792645454
0.1,0.7299270904541015,0.7505509257316589,0.06367550623416901
0.1,0.6158273106813431,0.6226258277893066,0.06940461243391037
0.1,0.5237338507533074,0.5010076761245728,0.06992076427936554
