Delta,Original,Pval,Reject,CI_low,CI_high
0.1,0.4018267393112182,0.007119163852056326,1.0,0.40212816166038207,0.40374344717507665
0.1,0.3236036598682403,1.2950840890761313e-54,1.0,0.32891375719234417,0.33043350976779984
0.1,0.4044313430786133,1.5145971860464872e-12,1.0,0.40114232587527754,0.4025683076350737
0.1,0.3814913034439087,4.2078870486949064e-61,1.0,0.3856813048213092,0.38680297106808753
0.1,0.4335732161998749,2.6815700199686287e-05,1.0,0.4312953221536687,0.43274477951158963
0.1,0.4653889536857605,0.000929572423299332,1.0,0.46348080246759504,0.46489969911860374
0.1,0.4797690510749817,4.502370845545192e-08,1.0,0.4809270545661402,0.4822190019905615
0.1,0.4921010434627533,0.0,1.0,0.47555737628082007,0.47704435593744543
0.1,0.5440402030944824,8.954224494686556e-167,1.0,0.5311800793437574,0.5328597987087157
0.1,0.5358357429504395,1.7164052807766175e-11,1.0,0.5318695808051542,0.5336575757564589
