Delta,Original,Pval,Reject,CI_low,CI_high
0.2,0.4018267393112182,1.1101528034137695e-26,1.0,0.40832773447097315,0.4112362749957942
0.2,0.2379845529794693,0.0,1.0,0.2635515096197022,0.2661747487341868
0.2,0.342878133058548,1.1903522901779846e-63,1.0,0.35284147604908317,0.35544498974476485
0.2,0.3670978546142578,0.0,1.0,0.3900142741463093,0.3922281550117822
0.2,0.4213488101959228,0.04269999560678357,1.0,0.4186637889351479,0.42130389912465893
0.2,0.4473142027854919,0.0,1.0,0.48032071311332103,0.48303283869169833
0.2,0.4984177350997925,8.57431976041008e-309,1.0,0.5228181566530252,0.5254057151502585
0.2,0.5219239592552185,3.2471729324253583e-69,1.0,0.5347188214454301,0.5379013406899325
0.2,0.6410279870033264,5.167643577592812e-67,1.0,0.6246574583681495,0.6279681543914406
0.2,0.6507853269577026,1.7700747607840677e-11,1.0,0.6547551753398166,0.6580169818941368
