Delta,New,Original,Difference
0.1,0.40293580441772936,0.40182673931121826,0.03302410955131054
0.1,0.329673633480072,0.32360365986824036,0.03110065051317215
0.1,0.4018553167551756,0.4044313430786133,0.029261202982068062
0.1,0.38624213794469836,0.3814913034439087,0.023164495795965193
0.1,0.4320200508326292,0.4335732161998749,0.02970835094153881
0.1,0.4641902507930994,0.4653889536857605,0.029139193114638327
0.1,0.48157302827835086,0.4797690510749817,0.026623307180404662
0.1,0.47630086610913275,0.4921010434627533,0.033349373096227646
0.1,0.5320199390262366,0.5440402030944824,0.03556873996555805
0.1,0.5327635782808066,0.5358357429504395,0.036830939903855324
