Delta,Original,New
0.05,0.45621994137763977,0.40282028913497925
0.05,0.45621994137763977,0.4532429277896881
0.05,0.45621994137763977,0.49124157428741455
0.05,0.45621994137763977,0.4135911166667938
0.05,0.45621994137763977,0.48407766222953796
0.05,0.45621994137763977,0.426799476146698
0.05,0.45621994137763977,0.4239519238471985
0.05,0.45621994137763977,0.5442589521408081
0.05,0.45621994137763977,0.4472667872905731
0.05,0.45621994137763977,0.42082658410072327
0.05,0.45621994137763977,0.41018790006637573
0.05,0.45621994137763977,0.45207181572914124
0.05,0.45621994137763977,0.3915419578552246
0.05,0.45621994137763977,0.3636208772659302
0.05,0.45621994137763977,0.38314029574394226
0.05,0.45621994137763977,0.40162456035614014
0.05,0.45621994137763977,0.48423486948013306
0.05,0.45621994137763977,0.43396809697151184
0.05,0.45621994137763977,0.37807971239089966
0.05,0.45621994137763977,0.4160858690738678
0.05,0.45621994137763977,0.44706326723098755
0.05,0.45621994137763977,0.5108612179756165
0.05,0.45621994137763977,0.43734365701675415
0.05,0.45621994137763977,0.41718989610671997
0.05,0.45621994137763977,0.5606566071510315
0.05,0.45621994137763977,0.49118250608444214
0.05,0.45621994137763977,0.41229838132858276
0.05,0.45621994137763977,0.49364039301872253
0.05,0.45621994137763977,0.43988722562789917
0.05,0.45621994137763977,0.3744664192199707
0.05,0.45621994137763977,0.4768623411655426
0.05,0.45621994137763977,0.448117196559906
0.05,0.45621994137763977,0.47944214940071106
0.05,0.45621994137763977,0.4786623418331146
0.05,0.45621994137763977,0.4586232006549835
0.05,0.45621994137763977,0.40081632137298584
0.05,0.45621994137763977,0.48132410645484924
0.05,0.45621994137763977,0.586624264717102
0.05,0.45621994137763977,0.5299428701400757
0.05,0.45621994137763977,0.4382162094116211
0.05,0.45621994137763977,0.5856494307518005
0.05,0.45621994137763977,0.5262827277183533
0.05,0.45621994137763977,0.4655574858188629
0.05,0.45621994137763977,0.49021318554878235
0.05,0.45621994137763977,0.44771134853363037
0.05,0.45621994137763977,0.4051438570022583
0.05,0.45621994137763977,0.3692561984062195
0.05,0.45621994137763977,0.4275986850261688
0.05,0.45621994137763977,0.4926595389842987
0.05,0.45621994137763977,0.4557046890258789
0.05,0.45621994137763977,0.3993411958217621
0.05,0.45621994137763977,0.4593823254108429
0.05,0.45621994137763977,0.44751185178756714
0.05,0.45621994137763977,0.3949291706085205
0.05,0.45621994137763977,0.4308803081512451
0.05,0.45621994137763977,0.5819370746612549
0.05,0.45621994137763977,0.3843722641468048
0.05,0.45621994137763977,0.47012409567832947
0.05,0.45621994137763977,0.47841161489486694
0.05,0.45621994137763977,0.5132661461830139
0.05,0.45621994137763977,0.47561031579971313
