Delta,Original,Pval,Reject,CI_low,CI_high
0.05,0.9287594556808472,2.0392590157249207e-15,1.0,0.9246737095524732,0.9262724031994877
0.05,0.9809978008270264,6.552927910792159e-12,1.0,0.9794454934112994,0.980129021931413
0.05,0.9767908453941344,5.331249625936227e-17,1.0,0.9746265941292843,0.9754360794394413
0.05,0.8607025742530823,0.009115951096977243,1.0,0.8559473966194887,0.8600265425608854
0.05,0.9795211553573608,7.473510459271266e-08,1.0,0.978423670719643,0.9790071306719585
0.05,0.9768160581588744,1.238284578616371e-15,1.0,0.9747248581734054,0.975537872305835
0.05,0.9756439924240112,1.3654151747841064e-14,1.0,0.9738790758524986,0.9745873636330514
0.05,0.97954660654068,5.947949115540381e-11,1.0,0.9781343541787577,0.9787803602768468
0.05,0.9346471428871156,0.13559773648488915,0.0,0.9330366665018759,0.9348655810462274
0.05,0.9721868634223938,1.5264656662990809e-19,1.0,0.9699386876284739,0.9707267832100728
