Delta,Original,New
0.1,0.40182673931121826,0.4417954683303833
0.1,0.40182673931121826,0.4019377827644348
0.1,0.40182673931121826,0.37238457798957825
0.1,0.40182673931121826,0.33811813592910767
0.1,0.40182673931121826,0.44247743487358093
0.1,0.40182673931121826,0.4562348425388336
0.1,0.40182673931121826,0.3698984682559967
0.1,0.40182673931121826,0.35081803798675537
0.1,0.40182673931121826,0.3980104625225067
0.1,0.40182673931121826,0.3772050440311432
0.1,0.40182673931121826,0.47955435514450073
0.1,0.40182673931121826,0.4064367115497589
0.1,0.40182673931121826,0.3187114894390106
0.1,0.40182673931121826,0.4737613797187805
0.1,0.40182673931121826,0.3723989427089691
0.1,0.40182673931121826,0.4070797264575958
0.1,0.40182673931121826,0.393683522939682
0.1,0.40182673931121826,0.4552653431892395
0.1,0.40182673931121826,0.40257784724235535
0.1,0.40182673931121826,0.426448792219162
0.1,0.40182673931121826,0.41759192943573
0.1,0.40182673931121826,0.3457341194152832
0.1,0.40182673931121826,0.42536959052085876
0.1,0.40182673931121826,0.37944814562797546
0.1,0.40182673931121826,0.4022098481655121
0.1,0.40182673931121826,0.46880674362182617
0.1,0.40182673931121826,0.40559548139572144
0.1,0.40182673931121826,0.41685205698013306
0.1,0.40182673931121826,0.4950878918170929
0.1,0.40182673931121826,0.39477017521858215
0.1,0.40182673931121826,0.4375554323196411
0.1,0.40182673931121826,0.43880292773246765
0.1,0.40182673931121826,0.460014671087265
0.1,0.40182673931121826,0.4039415717124939
0.1,0.40182673931121826,0.4469858407974243
0.1,0.40182673931121826,0.3960545063018799
0.1,0.40182673931121826,0.4614771008491516
0.1,0.40182673931121826,0.44133448600769043
0.1,0.40182673931121826,0.3537365198135376
0.1,0.40182673931121826,0.32548779249191284
0.1,0.40182673931121826,0.4137601852416992
0.1,0.40182673931121826,0.40423616766929626
0.1,0.40182673931121826,0.27634623646736145
0.1,0.40182673931121826,0.37290164828300476
0.1,0.40182673931121826,0.38384801149368286
0.1,0.40182673931121826,0.41948461532592773
0.1,0.40182673931121826,0.42497754096984863
0.1,0.40182673931121826,0.34166184067726135
0.1,0.40182673931121826,0.44746100902557373
0.1,0.40182673931121826,0.44404110312461853
0.1,0.40182673931121826,0.39478790760040283
0.1,0.40182673931121826,0.43064793944358826
0.1,0.40182673931121826,0.4148774743080139
0.1,0.40182673931121826,0.33887603878974915
0.1,0.40182673931121826,0.4198535084724426
