Delta,Original,Pval,Reject,CI_low,CI_high
0.2,0.4562199413776397,1.0987045251217838e-93,1.0,0.4855283388320508,0.4916428814548848
0.2,0.3692988455295563,8.63579332782142e-221,1.0,0.4132463985482655,0.4188816512031056
0.2,0.3477146327495575,7.090382113364621e-181,1.0,0.387697763927849,0.3934355410167854
0.2,0.6231887340545654,5.146534131531465e-41,1.0,0.6406552299629998,0.6466031019035626
0.2,0.1451743394136428,6.3564649649591745e-19,1.0,0.15080915081491889,0.15399078007563752
0.2,0.5648342967033386,1.7515142046302429e-06,1.0,0.5527481931416304,0.5597748664299039
0.2,0.1014642864465713,6.883893531066732e-124,1.0,0.12446181104880459,0.12855091086701786
0.2,0.1584861427545547,2.9146677200852677e-225,1.0,0.1937477546428066,0.1982183292836215
0.2,0.1292954236268997,0.0,1.0,0.18517002706298435,0.19027794882642274
0.2,0.3689040541648865,3.1913719743410727e-27,1.0,0.34548664835410425,0.35265949900505833
